Schiebewurst, 6
Philosophie, 0
Theorie_der_endlichen_Kugelpackungen#Die_Wurstkatastrophe, E
Bordkatze_der_Bismarck, E
Münchhausen-Zahl, E
Kanamara-Matsuri, E
Wojtek_(Bär), E
Stuhltransplantation, E
Clarence_(Spatz), E
Mäusemilch, E
Phallografie, E
Miserere_(Medizin), E
Vagina_dentata, E
Schickse, E
Dunning-Kruger-Effekt, E
Werkatze, E
Deus_lo_vult, E
Adolf_Lu_Hitler_Marak, E
Feuerklosett, E
Griechisch_Weißenburg, E
Deutsche_Physik, E
Blümchenkaffee, E
Turnspit_Dog, E
Defenestration, E
Österreichische_Lösung, E
Gollum_(Gattung), E
Diogenes_von_Sinope, E
Transnistrien, E
Allgemeiner_Unsinn, E
Koro_(Psychologie), E
Witzelsucht, E
Joseph_Pujol, E
Hühnerkanone, E
Panzerabwehrhund, E
Euthanasia_Coaster, E
Wolpertinger, E
Steinkind_von_Sens, E
(966)_Muschi, E
Gemeine_Hundsrute, E
Kanton_Waldstätten, E
Die_Saporoger_Kosaken_schreiben_dem_türkischen_Sultan_einen_Brief, E
Landpomeranze, E
Anasyrma, E
Schnepfendreck, E
Katechismus_der_Katholischen_Kirche, E
